Day,Total infected,Infected,Infected in 0,Infected in 1,Infected in 2,Infected in 3,Infected ratio
72,182,32,7,9,9,7,0.13733905579399142
73,182,28,7,9,6,6,0.12017167381974249
74,182,28,7,9,6,6,0.12017167381974249
75,182,23,6,6,6,5,0.09871244635193133
76,183,20,6,6,4,4,0.08583690987124463
77,183,18,6,6,3,3,0.07725321888412018
78,184,16,5,5,3,3,0.06866952789699571
79,185,15,5,5,3,2,0.06437768240343347
80,187,17,5,5,4,3,0.07296137339055794
81,188,16,5,4,3,4,0.06866952789699571
82,188,12,3,3,3,3,0.05150214592274678
83,188,11,2,3,3,3,0.04721030042918455
84,188,11,2,3,3,3,0.04721030042918455
85,189,11,2,2,4,3,0.04721030042918455
86,190,12,3,2,4,3,0.05150214592274678
87,190,11,3,2,4,2,0.04721030042918455
88,190,11,3,2,4,2,0.04721030042918455
89,191,12,3,2,4,3,0.05150214592274678
90,192,10,2,2,3,3,0.04291845493562232
91,192,10,2,2,3,3,0.04291845493562232
92,192,9,1,2,3,3,0.03862660944206009
93,192,9,1,2,3,3,0.03862660944206009
94,193,10,1,3,3,3,0.04291845493562232
95,193,10,1,3,3,3,0.04291845493562232
96,194,9,2,2,2,3,0.03862660944206009
97,194,8,2,2,1,3,0.034334763948497854
98,194,8,2,2,1,3,0.034334763948497854
99,196,10,3,2,1,4,0.04291845493562232
100,196,10,3,2,1,4,0.04291845493562232
101,196,8,3,2,1,2,0.034334763948497854
102,197,9,3,2,2,2,0.03862660944206009
103,199,11,5,2,2,2,0.04721030042918455
104,201,13,5,2,4,2,0.055793991416309016
105,202,12,5,2,3,2,0.05150214592274678
106,202,11,4,2,3,2,0.04721030042918455
107,203,11,4,2,3,2,0.04721030042918455
108,205,13,4,2,3,4,0.055793991416309016
109,205,13,4,2,3,4,0.055793991416309016
110,206,14,5,2,3,4,0.060085836909871244
111,208,15,6,2,3,4,0.06437768240343347
112,209,15,5,3,3,4,0.06437768240343347
113,209,15,5,3,3,4,0.06437768240343347
114,210,15,6,3,3,3,0.06437768240343347
115,212,17,6,3,5,3,0.07296137339055794
116,217,22,6,6,7,3,0.0944206008583691
117,218,22,6,6,7,3,0.0944206008583691
118,224,27,8,8,8,3,0.11587982832618025
119,227,27,6,8,9,4,0.11587982832618025
120,234,34,7,12,10,5,0.1459227467811159
121,238,37,7,15,10,5,0.15879828326180256
122,246,45,10,16,11,8,0.19313304721030042
123,250,48,11,16,11,10,0.20600858369098712
124,258,56,11,18,16,11,0.24034334763948498
125,263,60,12,18,19,11,0.2575107296137339
126,267,62,13,18,20,11,0.26609442060085836
127,271,66,14,18,21,13,0.2832618025751073
128,277,71,15,18,24,14,0.30472103004291845
129,281,74,16,17,25,16,0.31759656652360513
130,288,80,19,17,26,18,0.34334763948497854
131,297,86,22,16,28,20,0.36909871244635195
132,307,96,25,18,32,21,0.41201716738197425
133,313,101,26,21,32,22,0.4334763948497854
134,320,102,26,21,31,24,0.43776824034334766
135,325,105,26,23,31,25,0.45064377682403434
136,328,100,25,19,32,24,0.4291845493562232
137,333,101,26,17,33,25,0.4334763948497854
138,337,99,26,16,33,24,0.4248927038626609
139,344,99,27,17,32,23,0.4248927038626609
140,346,96,29,16,30,21,0.41201716738197425
141,355,98,28,17,29,24,0.4206008583690987
142,363,104,31,18,28,27,0.44635193133047213
143,368,102,29,20,26,27,0.43776824034334766
144,372,102,27,22,26,27,0.43776824034334766
