Day,Total infected,Infected,Infected in 0,Infected in 1,Infected in 2,Infected in 3,Infected ratio
0,0,0,0,0,0,0,0.0
1,1,1,0,1,0,0,0.004291845493562232
2,1,1,0,1,0,0,0.004291845493562232
3,1,1,0,1,0,0,0.004291845493562232
4,1,1,0,1,0,0,0.004291845493562232
5,2,2,0,1,1,0,0.008583690987124463
6,2,2,0,1,1,0,0.008583690987124463
7,2,2,0,1,1,0,0.008583690987124463
8,3,3,0,1,2,0,0.012875536480686695
9,4,4,1,1,2,0,0.017167381974248927
10,4,4,1,1,2,0,0.017167381974248927
11,4,4,1,1,2,0,0.017167381974248927
12,5,5,1,1,2,1,0.02145922746781116
13,5,5,1,1,2,1,0.02145922746781116
14,7,7,1,2,2,2,0.030042918454935622
15,8,8,1,2,3,2,0.034334763948497854
16,10,10,2,2,3,3,0.04291845493562232
17,11,11,3,2,3,3,0.04721030042918455
18,12,11,3,2,3,3,0.04721030042918455
19,14,13,4,2,3,4,0.055793991416309016
20,15,14,4,2,4,4,0.060085836909871244
21,18,16,4,2,4,6,0.06866952789699571
22,21,19,5,2,6,6,0.0815450643776824
23,22,20,5,3,6,6,0.08583690987124463
24,22,20,5,3,6,6,0.08583690987124463
25,24,21,4,3,7,7,0.09012875536480687
26,30,26,5,5,7,9,0.11158798283261803
27,33,29,7,5,7,10,0.12446351931330472
28,35,30,8,5,7,10,0.12875536480686695
29,39,34,8,5,9,12,0.1459227467811159
30,42,37,8,6,10,13,0.15879828326180256
31,47,41,10,9,9,13,0.1759656652360515
32,50,44,11,10,9,14,0.1888412017167382
33,53,45,11,11,9,14,0.19313304721030042
34,56,48,13,11,9,15,0.20600858369098712
35,62,51,13,12,11,15,0.21888412017167383
36,65,53,12,13,13,15,0.22746781115879827
37,69,54,13,13,11,17,0.2317596566523605
38,71,55,13,13,12,17,0.23605150214592274
39,78,60,15,17,11,17,0.2575107296137339
40,85,65,17,17,14,17,0.27896995708154504
41,91,68,19,17,14,18,0.2918454935622318
42,92,67,20,17,13,17,0.2875536480686695
43,99,73,22,20,13,18,0.3133047210300429
44,108,81,23,22,16,20,0.34763948497854075
45,111,82,23,22,18,19,0.351931330472103
46,111,79,22,21,17,19,0.33905579399141633
47,117,78,22,21,18,17,0.33476394849785407
48,124,82,22,21,20,19,0.351931330472103
49,127,78,20,19,20,19,0.33476394849785407
50,131,80,21,19,22,18,0.34334763948497854
51,136,81,22,18,22,19,0.34763948497854075
52,141,81,24,16,21,20,0.34763948497854075
53,145,83,24,16,22,21,0.3562231759656652
54,146,82,23,16,23,20,0.351931330472103
55,154,84,22,12,28,22,0.3605150214592275
56,157,80,21,12,25,22,0.34334763948497854
57,162,83,20,13,26,24,0.3562231759656652
58,165,82,21,13,25,23,0.351931330472103
59,166,74,19,12,24,19,0.31759656652360513
60,166,67,18,10,23,16,0.2875536480686695
61,170,65,17,10,24,14,0.27896995708154504
62,172,64,16,11,24,13,0.27467811158798283
63,172,60,14,11,22,13,0.2575107296137339
64,173,54,12,10,20,12,0.2317596566523605
65,175,52,10,10,19,13,0.22317596566523606
66,178,52,11,10,17,14,0.22317596566523606
67,178,48,10,9,16,13,0.20600858369098712
68,179,43,7,10,14,12,0.18454935622317598
69,179,38,6,8,13,11,0.1630901287553648
70,180,37,6,9,12,10,0.15879828326180256
71,181,33,6,9,9,9,0.14163090128755365
