Number,Name,Infections,Channel,CF,I start,I end,Size
12,g4g_00013.wav,1,3,1.2627068552747311,50,69,397018
183,g4g_00184.wav,1,2,0.8075747618647221,55,69,304819
134,g4g_00135.wav,1,2,0.9222387164411674,54,70,331162
176,g4g_00177.wav,1,3,1.006691455381941,52,70,380083
5,g4g_00006.wav,1,2,1.0425318050375838,49,70,455347
112,g4g_00113.wav,1,2,0.8258206347344109,53,70,368640
7,g4g_00008.wav,1,2,0.8777042261239586,54,70,352800
115,g4g_00116.wav,1,3,1.0273075903849738,54,71,368640
195,g4g_00196.wav,1,3,1.28020980107692,55,71,347155
153,g4g_00154.wav,1,2,1.1185169939021025,56,72,331162
160,g4g_00161.wav,1,2,0.6907369926728131,50,72,466637
203,g4g_00204.wav,1,2,0.931794570820911,54,72,387610
37,g4g_00038.wav,1,3,0.8845398793791996,56,72,352800
123,g4g_00124.wav,1,0,1.4264024384346137,56,74,375379
124,g4g_00125.wav,1,1,1.0010269867358899,56,74,375379
188,g4g_00189.wav,1,1,0.7670827397833977,58,74,346214
114,g4g_00115.wav,1,1,1.0219563425267137,57,74,368640
91,g4g_00092.wav,1,3,0.9706026261001468,54,74,440294
38,g4g_00039.wav,1,0,1.1588774359452476,57,75,379904
55,g4g_00056.wav,1,2,0.9600295481428665,60,75,316109
66,g4g_00067.wav,1,2,1.0527052412012843,54,75,449702
200,g4g_00201.wav,1,3,0.7748803523407735,54,75,457229
231,g4g_00232.wav,1,2,0.9246332973996696,54,76,463814
104,g4g_00105.wav,1,3,0.7484066442817782,57,76,414893
136,g4g_00137.wav,1,1,0.8662439384196445,61,77,332102
17,g4g_00018.wav,1,0,0.6253459334039013,55,77,476045
168,g4g_00169.wav,1,2,1.0533831922448609,60,77,374438
163,g4g_00164.wav,1,3,1.3110512013269309,56,78,465696
218,g4g_00219.wav,1,1,0.8734761530473689,63,78,314227
128,g4g_00129.wav,1,1,1.1415626475097573,60,80,431827
49,g4g_00050.wav,1,2,0.8852316431779251,60,80,434432
151,g4g_00152.wav,1,0,0.8885396284859732,65,81,331162
175,g4g_00176.wav,1,0,1.3055786052069165,64,81,357504
199,g4g_00200.wav,1,1,1.0037225251549104,61,81,428299
224,g4g_00225.wav,1,3,1.2017427672287404,64,81,365030
169,g4g_00170.wav,1,0,0.8340447352849285,65,82,374438
221,g4g_00222.wav,1,1,0.7731917771647454,67,84,364090
201,g4g_00202.wav,1,3,1.0268411323981395,65,86,457229
29,g4g_00030.wav,1,2,1.1202720284292105,70,89,397056
33,g4g_00034.wav,2,0,1.2013874081526552,71,89,379648
41,g4g_00042.wav,1,1,0.9467724181025055,69,89,434432
155,g4g_00156.wav,1,0,1.1362311148943505,75,91,332102
177,g4g_00178.wav,1,2,0.7369429922102618,77,95,380083
226,g4g_00227.wav,2,1,1.0241306721731682,78,95,359386
174,g4g_00175.wav,2,2,0.91280300517418,79,96,357504
212,g4g_00213.wav,1,3,0.9172858837768254,79,100,444058
40,g4g_00041.wav,1,3,0.6668895288615063,80,100,434432
150,g4g_00151.wav,2,3,0.8835351989511853,88,104,331162
88,g4g_00089.wav,1,2,0.6850824173044454,84,104,440294
