Number,Name,Infections,Channel,CF,I start,I end,Size
50,g4g_00051.wav,1,3,1.0781315355497507,1,15,350918
106,g4g_00107.wav,1,3,0.9481049687126091,0,19,397958
26,g4g_00027.wav,1,0,0.8981606739185967,4,20,336384
27,g4g_00028.wav,1,2,1.1617013150383197,12,28,336384
220,g4g_00221.wav,1,3,1.1733245350960437,13,30,364090
155,g4g_00156.wav,1,2,0.8220829823579824,15,31,332102
165,g4g_00166.wav,1,0,0.9370173292798445,15,31,332102
210,g4g_00211.wav,1,3,1.2387059401627734,16,32,342451
120,g4g_00121.wav,1,2,1.3201879790361284,15,32,368640
214,g4g_00215.wav,1,2,1.0271383862412162,16,32,348096
85,g4g_00086.wav,1,2,0.8798679907936227,12,32,440294
190,g4g_00191.wav,1,1,1.0892406603205231,18,34,348096
134,g4g_00135.wav,1,1,0.718550919705188,20,36,331162
135,g4g_00136.wav,1,0,0.8896364992542183,20,36,331162
174,g4g_00175.wav,1,0,1.1284035534280228,19,36,357504
177,g4g_00178.wav,1,1,1.1743363764550656,18,36,380083
57,g4g_00058.wav,1,3,1.044626389450063,21,36,316109
208,g4g_00209.wav,1,1,1.024036514415932,21,36,317990
2,g4g_00003.wav,1,0,0.7862346860697522,16,36,431827
21,g4g_00022.wav,1,3,1.037778860127823,21,37,345856
77,g4g_00078.wav,1,3,1.2468499288187962,22,37,326458
149,g4g_00150.wav,1,1,1.2052687599950138,17,37,439354
91,g4g_00092.wav,1,3,1.062847258740681,17,37,440294
164,g4g_00165.wav,1,0,1.1896594536024026,22,38,332102
58,g4g_00059.wav,1,1,1.472975451318725,23,38,316109
159,g4g_00160.wav,1,0,1.2822324952016915,18,38,438413
63,g4g_00064.wav,1,0,1.0243961236938643,17,39,469459
226,g4g_00227.wav,1,1,1.3732334830307649,22,39,359386
65,g4g_00066.wav,1,2,0.7179650480181521,20,39,403603
22,g4g_00023.wav,1,3,1.1846527285678767,18,39,455936
173,g4g_00174.wav,1,3,0.9963734223106994,19,39,439354
94,g4g_00095.wav,1,2,0.9591566849261106,19,40,442176
133,g4g_00134.wav,1,2,0.6370304614182729,24,40,332102
179,g4g_00180.wav,1,0,0.8110072813270917,23,40,356563
54,g4g_00055.wav,1,0,1.1421289636227652,25,40,316109
69,g4g_00070.wav,1,3,0.7208522637609952,22,40,388550
7,g4g_00008.wav,1,3,1.0120735508643097,24,40,352800
36,g4g_00037.wav,1,2,0.9724707526682177,24,40,352800
142,g4g_00143.wav,1,2,1.265319324200475,25,41,332102
53,g4g_00054.wav,1,2,1.2890907177118245,26,41,315168
64,g4g_00065.wav,1,1,1.35183714660835,22,41,403603
55,g4g_00056.wav,1,1,0.7079400566251408,26,41,316109
23,g4g_00024.wav,1,2,1.0652309887160452,20,41,455936
114,g4g_00115.wav,1,0,0.9877741530427302,24,41,368640
195,g4g_00196.wav,1,0,0.9123398704244602,25,41,347155
215,g4g_00216.wav,1,3,0.8685686809938512,25,41,348096
118,g4g_00119.wav,1,2,1.1819116952435824,27,41,306176
92,g4g_00093.wav,1,2,1.0368394872882574,21,41,440294
38,g4g_00039.wav,1,1,1.0891408854115048,24,42,379904
37,g4g_00038.wav,1,3,1.2888476718550805,26,42,352800
152,g4g_00153.wav,1,2,0.7871642132954861,27,43,331162
82,g4g_00083.wav,1,1,1.2087406807197427,27,43,341510
111,g4g_00112.wav,1,3,1.03097945211366,27,43,342451
74,g4g_00075.wav,1,1,1.3441927464646568,25,43,391373
150,g4g_00151.wav,1,3,0.799100091874973,28,44,331162
127,g4g_00128.wav,1,1,1.1988702393026733,26,44,375379
107,g4g_00108.wav,1,3,1.0709155156595342,25,44,397958
166,g4g_00167.wav,1,2,0.5885920368573617,28,44,332102
212,g4g_00213.wav,1,2,0.7398445943488826,23,44,444058
219,g4g_00220.wav,1,3,0.8387491815203908,29,44,314227
47,g4g_00048.wav,1,3,0.9682379692716849,25,44,402662
225,g4g_00226.wav,1,1,1.2496961154040165,27,44,365030
49,g4g_00050.wav,1,1,0.6963472604416533,24,44,434432
30,g4g_00031.wav,1,2,1.3369441633213937,23,44,457472
34,g4g_00035.wav,1,0,0.8963068346165879,28,44,352800
