Day,Total infected,Infected,Infected in 0,Infected in 1,Infected in 2,Infected in 3,Infected ratio
120,200,2,1,1,0,0,0.008583690987124463
121,200,1,1,0,0,0,0.004291845493562232
122,200,1,1,0,0,0,0.004291845493562232
123,200,1,1,0,0,0,0.004291845493562232
124,200,1,1,0,0,0,0.004291845493562232
125,200,1,1,0,0,0,0.004291845493562232
126,200,1,1,0,0,0,0.004291845493562232
127,200,1,1,0,0,0,0.004291845493562232
128,200,1,1,0,0,0,0.004291845493562232
129,200,1,1,0,0,0,0.004291845493562232
130,200,1,1,0,0,0,0.004291845493562232
131,200,1,1,0,0,0,0.004291845493562232
132,200,1,1,0,0,0,0.004291845493562232
133,200,1,1,0,0,0,0.004291845493562232
134,200,1,1,0,0,0,0.004291845493562232
135,200,0,0,0,0,0,0.0
136,200,0,0,0,0,0,0.0
137,200,0,0,0,0,0,0.0
138,200,0,0,0,0,0,0.0
139,200,0,0,0,0,0,0.0
140,200,0,0,0,0,0,0.0
141,200,0,0,0,0,0,0.0
142,200,0,0,0,0,0,0.0
143,200,0,0,0,0,0,0.0
144,200,0,0,0,0,0,0.0
