Number,Name,Infections,Channel,CF,I start,I end,Size
101,g4g_00102.wav,1,0,0.7344007399853885,1,17,343392
200,g4g_00201.wav,1,0,0.7833681292249902,1,20,457229
47,g4g_00048.wav,1,3,1.095123890465231,5,24,402662
225,g4g_00226.wav,1,0,1.3237996510903471,8,25,365030
121,g4g_00122.wav,1,0,0.8976490463991327,12,29,368640
27,g4g_00028.wav,1,2,1.090780598731897,14,30,336384
99,g4g_00100.wav,1,0,0.9241615896574099,16,31,315168
148,g4g_00149.wav,1,1,0.9895343776526353,11,31,439354
127,g4g_00128.wav,1,3,0.9765323538163819,14,32,375379
147,g4g_00148.wav,1,0,0.9779209643873736,16,32,332102
213,g4g_00214.wav,1,2,0.6550879296188774,12,33,444058
196,g4g_00197.wav,1,2,1.2284404777223976,17,33,348096
53,g4g_00054.wav,1,3,0.871639808101911,19,34,315168
156,g4g_00157.wav,1,0,0.9654099499352713,18,34,346214
214,g4g_00215.wav,1,2,1.2368947687163567,20,36,348096
123,g4g_00124.wav,1,1,0.6059996294824016,19,37,375379
19,g4g_00020.wav,1,2,0.800723833283008,15,37,476045
189,g4g_00190.wav,1,2,1.191121009916103,21,37,346214
166,g4g_00167.wav,1,0,0.8724415319947649,22,38,332102
210,g4g_00211.wav,1,2,0.9148226677855633,22,38,342451
70,g4g_00071.wav,1,1,0.7121198121193983,22,38,350918
207,g4g_00208.wav,1,1,0.9505262190857857,20,39,399840
91,g4g_00092.wav,1,0,1.12141438013815,19,39,440294
170,g4g_00171.wav,1,0,0.917669399239404,24,41,355622
49,g4g_00050.wav,1,0,1.1160138589699111,21,41,434432
24,g4g_00025.wav,1,2,0.9702538083659896,23,43,438016
97,g4g_00098.wav,1,1,1.323900391875481,23,44,441235
103,g4g_00104.wav,1,2,1.2209041217549084,23,44,441235
76,g4g_00077.wav,1,2,1.1617077942969403,29,44,326458
50,g4g_00051.wav,1,2,0.9714713565722293,29,45,350918
212,g4g_00213.wav,1,2,1.1998642599290072,26,47,444058
29,g4g_00030.wav,1,0,1.2558614338950473,29,48,397056
31,g4g_00032.wav,1,0,1.0880509664118048,27,48,457472
136,g4g_00137.wav,1,2,0.9271345461606064,33,49,332102
177,g4g_00178.wav,1,0,0.9629650580261542,31,49,380083
64,g4g_00065.wav,1,2,0.9802366126293018,30,49,403603
192,g4g_00193.wav,1,3,1.285562952912046,33,49,344333
102,g4g_00103.wav,1,1,0.842653834343791,29,50,441235
161,g4g_00162.wav,1,0,0.777914764194414,28,50,466637
120,g4g_00121.wav,1,1,1.1882263836744187,33,50,368640
72,g4g_00073.wav,1,0,0.949390370941986,32,50,395136
30,g4g_00031.wav,1,3,1.0266797528949474,30,51,457472
86,g4g_00087.wav,1,0,1.0230106363527307,31,51,440294
